Scientific_Name,Mangrove
Engraulis ringens,0
Theragra chalcogramma,0
Clupea harengus,0
Gadus morhua,0
Hypophthalmichthys molitrix,0
Cyprinus carpio,0
Scomber japonicus,0
Trachurus murphyi,0
Katsuwonus pelamis,0
Sardinops sagax,0
Mallotus villosus,0
Hypophthalmichthys nobilis,0
Sardina pilchardus,0
Trichiurus lepturus,1
Oreochromis niloticus,0
Engraulis japonicus,1
Thunnus albacares,0
Scomber scombrus,0
Micromesistius poutassou,0
Catla catla,0
Brevoortia patronus,1
Salmo salar,0
Engraulis encrasicolus,0
Labeo rohita,0
Melanogrammus aeglefinus,0
Sprattus sprattus,0
Pollachius virens,0
Chanos chanos,1
Cololabis saira,0
Trachurus capensis,0
Brevoortia tyrannus,1
Merluccius hubbsi,0
Oncorhynchus mykiss,0
Sardinella longiceps,0
Oncorhynchus gorbuscha,0
Gadus macrocephalus,0
Trachurus japonicus,0
Sardinella aurita,0
Thunnus obesus,0
Clupeonella cultriventris,1
Engraulis capensis,0
Scomber colias,0
Megalobrama amblycephala,0
Trisopterus esmarkii,0
Oncorhynchus keta,0
Thunnus alalunga,0
Trachurus trachurus,0
Rastrelliger kanagurta,0
Cirrhinus mrigala,0
Lates niloticus,0
Merluccius productus,0
Tenualosa ilisha,1
Larimichthys polyactis,0
Pleurogrammus azonus,0
Rastrelliger brachysoma,1
Ictalurus punctatus,0
Euthynnus affinis,0
Pleuronectes platessa,1
Harpadon nehereus,1
Ammodytes personatus,0
Merlangius merlangus,0
Ethmalosa fimbriata,1
Mylopharyngodon piceus,0
Muraenesox cinereus,1
Scomberomorus commerson,0
Oncorhynchus nerka,0
Merluccius merluccius,0
Anguilla japonica,1
Trachurus trecae,1
Sardinella gibbosa,1
Macruronus magellanicus,0
Seriola quinqueradiata,0
Macruronus novaezelandiae,1
Cetengraulis mysticetus,0
Thunnus tonggol,0
Reinhardtius hippoglossoides,0
Selaroides leptolepis,1
Merluccius bilinearis,0
Decapterus russelli,1
Micromesistius australis,0
Sardinella brasiliensis,1
Barbonymus gonionotus,1
Channa argus,1
Oncorhynchus kisutch,0
Limanda aspera,0
Silurus asotus,1
,
Selar crumenophthalmus,1
Opisthonema libertate,0
Sebastes alutus,0
Pagrus auratus,1
Micropogonias furnieri,0
Sardinella maderensis,1
Xiphias gladius,0
Mugil cephalus,1
Abramis brama,1
Channa striata,1
Clarias gariepinus,0
Siniperca chuatsi,0
Sardinella lemuru,1
Rastrineobola argentea,0
Monopterus albus,1
Decapterus maruadsi,0
Lates calcarifer,1
Hippoglossoides platessoides,0
Stephanolepis cirrhifer,0
Molva molva,0
Micropterus salmoides,1
Megalaspis cordyla,1
Misgurnus anguillicaudatus,1
Sarda chiliensis,1
Coryphaena hippurus,0
Sparus aurata,0
Solea solea,0
Dicentrarchus labrax,0
Oreochromis mossambicus,0
Thyrsites atun,0
Cirrhinus molitorella,1
Brosme brosme,0
Ilisha elongata,1
Piaractus brachypomus,1
Squalus acanthias,1
Anabas testudineus,0
Etrumeus whiteheadi,0
Parastromateus niger,1
Hippoglossus stenolepis,0
Saurida tumbil,0
Sarda sarda,1
Lateolabrax japonicus,1
Esox lucius,0
Pennahia argentata,1
Thunnus maccoyii,0
Makaira nigricans,0
Pleurogrammus monopterygius,0
Trachurus mediterraneus,0
Scomberomorus niphonius,0
Boreogadus saida,0
Thunnus thynnus,0
Dussumieria acuta,1
Sander lucioperca,0
Boops boops,0
Eleginus gracilis,0
Pampus argenteus,1
Scomberomorus guttatus,1
Prionace glauca,0
Anoplopoma fimbria,0
Pomatomus saltatrix,1
Limanda ferruginea,0
Alosa pseudoharengus,0
Oncorhynchus tshawytscha,0